Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:20,032;384,908103;0,106777;0,121486;0,165575;-0,041668;-2,467076;-0,116438;24,07721
17:41:20,042;383,965142;0,104152;0,116236;0,165575;-0,317317;-2,703324;-0,405198;24,103465
17:41:20,052;386,322546;0,113078;0,124111;0,163738;-0,041668;-2,401452;-0,063936;24,050956
17:41:20,062;383,965142;0,105202;0,123586;0,164656;-0,330443;-2,690199;-0,352696;24,116592
17:41:20,072;383,965142;0,108877;0,120961;0,170169;-0,002289;-2,257078;-0,050811;24,116592
17:41:20,082;385,379584;0,104677;0,119386;0,162819;-0,304191;-2,755824;-0,392072;24,050956
17:41:20,092;380,664776;0,115178;0,133037;0,167413;0,010837;-2,401452;-0,02456;24,142847
17:41:20,102;382,550699;0,108877;0,120436;0,16925;-0,330443;-2,795199;-0,418323;24,037828
17:41:20,112;384,908103;0,113078;0,125161;0,168331;-0,041668;-2,362077;-0,077062;24,090338
17:41:20,122;382,079218;0,104677;0,121486;0,171087;-0,343569;-2,755824;-0,48395;24,064083
17:41:20,132;377,835891;0,113078;0,127261;0,168331;-0,015416;-2,362077;-0,011435;24,090338
17:41:20,142;383,02218;0,106777;0,121486;0,170169;-0,264812;-2,61145;-0,457699;24,12972
17:41:20,152;383,02218;0,104152;0,117286;0,168331;0,037089;-2,348952;-0,103313;24,050956
17:41:20,162;382,079218;0,105202;0,121486;0,168331;-0,317317;-2,755824;-0,392072;24,116592
17:41:20,172;385,851065;0,109927;0,124111;0,168331;-0,041668;-2,401452;-0,050811;24,050956
17:41:20,182;383,02218;0,106777;0,124111;0,170169;-0,304191;-2,650825;-0,365821;24,116592
17:41:20,192;383,02218;0,114128;0,125686;0,163738;-0,028542;-2,388327;-0,077062;24,064083
17:41:20,202;383,02218;0,102052;0,116761;0,168331;-0,330443;-2,834573;-0,431448;24,116592
17:41:20,212;383,493661;0,110452;0,122536;0,172925;-0,028542;-2,427701;-0,129563;24,103465
17:41:20,222;379,721814;0,109402;0,129362;0,170169;-0,225434;-2,66395;-0,418323;24,064083
17:41:20,232;384,908103;0,115178;0,131987;0,171087;-0,054794;-2,375202;-0,103313;24,090338
17:41:20,242;384,908103;0,116228;0,128312;0,167413;-0,304191;-2,716449;-0,405198;24,064083
17:41:20,252;387,265507;0,113603;0,127787;0,16925;-0,041668;-2,322702;-0,090187;24,103465
17:41:20,262;384,436622;0,108352;0,126211;0,170169;-0,330443;-2,624575;-0,470825;24,116592
17:41:20,272;385,379584;0,116228;0,126211;0,16925;-0,041668;-2,401452;-0,037685;24,07721
17:41:20,282;383,493661;0,108352;0,120436;0,173844;-0,291065;-2,768949;-0,392072;24,12972
17:41:20,292;383,02218;0,114128;0,126211;0,170169;-0,041668;-2,375202;-0,129563;24,064083
17:41:20,302;383,02218;0,111503;0,130412;0,168331;-0,291065;-2,61145;-0,418323;24,011574
17:41:20,312;386,322546;0,113603;0,137762;0,168331;-0,054794;-2,414576;-0,155814;24,037828
17:41:20,322;382,079218;0,106777;0,122011;0,172006;-0,264812;-2,6377;-0,405198;24,103465
17:41:20,332;385,379584;0,110977;0,123586;0,170169;-0,06792;-2,440826;-0,155814;24,024701
17:41:20,342;382,550699;0,105202;0,119386;0,165575;-0,277938;-2,795199;-0,378947;24,12972
17:41:20,352;380,664776;0,108352;0,125686;0,165575;-0,041668;-2,493326;-0,16894;24,050956
17:41:20,362;383,965142;0,108352;0,122536;0,170169;-0,277938;-2,624575;-0,392072;24,090338
17:41:20,372;383,493661;0,106252;0,122011;0,16925;-0,028542;-2,375202;-0,208316;24,103465
17:41:20,382;383,02218;0,112553;0,122536;0,166494;-0,277938;-2,742699;-0,444574;24,103465
17:41:20,392;383,493661;0,113603;0,122011;0,171087;-0,081046;-2,493326;-0,260818;24,07721
17:41:20,402;384,908103;0,111503;0,125161;0,166494;-0,291065;-2,755824;-0,365821;24,103465
17:41:20,412;385,851065;0,113603;0,117811;0,170169;-0,06792;-2,506451;-0,155814;24,116592
17:41:20,422;384,908103;0,108877;0,120436;0,166494;-0,304191;-2,742699;-0,418323;24,07721
17:41:20,432;383,493661;0,105727;0,117811;0,164656;-0,081046;-2,388327;-0,129563;24,12972
17:41:20,442;381,136257;0,110452;0,120436;0,172925;-0,330443;-2,677075;-0,418323;24,090338
17:41:20,452;383,965142;0,108877;0,118336;0,168331;-0,041668;-2,532701;-0,208316;24,07721
17:41:20,462;387,265507;0,103102;0,125161;0,167413;-0,304191;-2,768949;-0,378947;24,103465
17:41:20,472;383,965142;0,111503;0,123586;0,168331;-0,06792;-2,572075;-0,260818;24,07721
17:41:20,482;382,550699;0,103627;0,118861;0,168331;-0,291065;-2,742699;-0,378947;24,050956
17:41:20,492;382,079218;0,119378;0,127261;0,16925;-0,041668;-2,440826;-0,234567;24,050956
17:41:20,502;381,136257;0,109402;0,118336;0,165575;-0,291065;-2,598325;-0,405198;24,12972
17:41:20,512;382,079218;0,107302;0,124111;0,166494;-0,054794;-2,401452;-0,234567;24,103465
17:41:20,522;382,550699;0,106252;0,124636;0,163738;-0,330443;-2,742699;-0,365821;24,064083
17:41:20,532;382,550699;0,106252;0,119911;0,168331;-0,06792;-2,519576;-0,16894;24,037828
17:41:20,542;379,721814;0,109402;0,118861;0,164656;-0,291065;-2,860823;-0,33957;24,090338
17:41:20,552;380,664776;0,105202;0,118861;0,16925;-0,054794;-2,257078;-0,142689;24,116592
17:41:20,562;383,02218;0,109927;0,123586;0,167413;-0,251686;-2,768949;-0,365821;24,064083
17:41:20,572;383,493661;0,113603;0,131987;0,167413;-0,028542;-2,532701;-0,129563;24,090338
17:41:20,582;383,02218;0,104677;0,119911;0,167413;-0,317317;-2,624575;-0,365821;24,090338
17:41:20,592;380,664776;0,111503;0,127261;0,167413;-0,041668;-2,440826;-0,142689;24,116592
17:41:20,602;379,250333;0,108352;0,124636;0,173844;-0,304191;-2,768949;-0,405198;24,07721
17:41:20,612;383,02218;0,106252;0,120436;0,168331;-0,054794;-2,55895;-0,182065;24,064083
17:41:20,622;381,607737;0,103627;0,116761;0,170169;-0,304191;-2,782074;-0,378947;24,103465
17:41:20,632;383,965142;0,110977;0,126736;0,172006;-0,094172;-2,467076;-0,142689;24,050956
17:41:20,642;382,079218;0,111503;0,128837;0,170169;-0,291065;-2,716449;-0,31332;24,090338
17:41:20,652;382,550699;0,108877;0,119911;0,171087;-0,041668;-2,414576;-0,182065;24,050956
17:41:20,662;382,079218;0,110452;0,126211;0,166494;-0,277938;-2,545825;-0,365821;24,103465
17:41:20,672;386,322546;0,110452;0,124111;0,172925;-0,06792;-2,467076;-0,247692;24,090338
17:41:20,682;381,136257;0,106777;0,125161;0,170169;-0,251686;-2,900198;-0,405198;24,064083
17:41:20,692;383,02218;0,107302;0,124636;0,172006;-0,094172;-2,440826;-0,208316;24,12972
17:41:20,702;381,607737;0,114653;0,129362;0,171087;-0,23856;-2,66395;-0,33957;24,12972
17:41:20,712;381,136257;0,109402;0,124111;0,173844;-0,041668;-2,506451;-0,142689;24,116592
17:41:20,722;383,02218;0,108352;0,126736;0,172006;-0,343569;-2,61145;-0,444574;24,116592
17:41:20,732;386,322546;0,108352;0,126736;0,172925;-0,028542;-2,453951;-0,090187;24,142847
17:41:20,742;383,02218;0,105202;0,123061;0,171087;-0,277938;-2,690199;-0,431448;24,090338
17:41:20,752;385,379584;0,113078;0,126736;0,170169;-0,002289;-2,440826;-0,16894;24,011574
