file,sigma,duration_min,sampling_hz,smoothing_window_sec,actual_blockage_min,blockage_confirmed,fft_threshold,static_threshold,composite_first_crossing_min,static_first_crossing_min,composite_lead_min,static_lead_min,composite_max,static_max,composite_crossings_count,static_crossings_count,forecast_best_fit,forecast_best_r2,forecast_consensus_eta_min,forecast_eta_lead_min,forecast_linear_r2,forecast_linear_eta_min,forecast_exp_r2,forecast_exp_eta_min,forecast_power_r2,forecast_power_eta_min,flow_best_fit,flow_r2,flow_eta_min,flow_eta_lead_min,error
04-04-LF.xlsx,3,307.617,1.0,60.0,,no_block,0.00644,0.009987,,22.283,,,0.008158,0.035903,2,4213,power_law,0.0361,,,0.0126,,0.0045,,0.0361,,linear,0.0341,29652.809,,
04-04-LF.xlsx,4,307.617,1.0,60.0,,no_block,0.00652,0.013316,,58.833,,,0.008158,0.035903,2,4050,power_law,0.0359,,,0.0126,,0.0044,,0.0359,,linear,0.0341,29652.809,,
04-04-LF.xlsx,5,307.617,1.0,60.0,,no_block,0.00652,0.016645,,59.083,,,0.008158,0.035903,2,3827,power_law,0.0359,,,0.0126,,0.0044,,0.0359,,linear,0.0341,29652.809,,
0709.csv,3,29.9,1.0,60.0,29.9,yes,0.010007,0.002503,29.433,8.433,0.467,21.467,0.921853,0.027273,87,1236,linear,-2.8495,35.359,-5.459,-2.8495,31.278,-2.88,35.359,-5.9875,57.027,exponential,0.0075,539.102,-509.202,
0709.csv,4,29.9,1.0,60.0,29.9,yes,0.010011,0.003337,29.433,9.45,0.467,20.45,0.921853,0.027273,87,1083,linear,-2.8495,35.362,-5.462,-2.8495,31.281,-2.88,35.362,-5.9875,57.042,exponential,0.0075,539.102,-509.202,
0709.csv,5,29.9,1.0,60.0,29.9,yes,0.010011,0.004172,29.433,13.6,0.467,16.3,0.921853,0.027273,87,979,linear,-2.8495,35.362,-5.462,-2.8495,31.281,-2.88,35.362,-5.9875,57.042,exponential,0.0075,539.102,-509.202,
11-12.xlsx,3,266.379,1.11,60.0,57.0,yes,0.002287,0.005174,55.642,55.171,1.358,1.829,0.10502,0.413139,249,3217,linear,-2.0022,366.472,-309.472,-2.0022,204.878,-2.1276,366.472,-2.8583,1264.715,linear,0.6056,703.104,-646.104,
11-12.xlsx,4,266.379,1.11,60.0,57.0,yes,0.002332,0.006899,55.642,55.234,1.358,1.766,0.10502,0.413139,247,3210,linear,-2.0022,367.67,-310.67,-2.0022,205.668,-2.127,367.67,-2.8585,1283.472,linear,0.6056,703.104,-646.104,
11-12.xlsx,5,266.379,1.11,60.0,57.0,yes,0.002332,0.008624,55.642,55.234,1.358,1.766,0.10502,0.413139,247,3207,linear,-2.0022,367.67,-310.67,-2.0022,205.668,-2.127,367.67,-2.8585,1283.472,linear,0.6056,703.104,-646.104,
18-11-LF.xlsx,3,26.233,1.0,60.0,6.833,yes,0.000544,0.005156,6.817,6.317,0.016,0.516,1.749366,0.89775,1203,1196,exponential,0.5877,11.264,-4.431,-0.5848,14.7,0.5877,11.264,-1.4478,10.232,linear,0.4779,7742.279,-7735.446,
18-11-LF.xlsx,4,26.233,1.0,60.0,6.833,yes,0.000544,0.006875,6.817,6.317,0.016,0.516,1.749366,0.89775,1203,1196,exponential,0.5877,11.266,-4.433,-0.5848,14.7,0.5877,11.266,-1.4478,10.233,linear,0.4779,7742.279,-7735.446,
