file,sigma,duration_min,sampling_hz,smoothing_window_sec,actual_blockage_min,blockage_confirmed,fft_threshold,static_threshold,composite_first_crossing_min,static_first_crossing_min,composite_lead_min,static_lead_min,composite_max,static_max,composite_crossings_count,static_crossings_count,forecast_best_fit,forecast_best_r2,forecast_consensus_eta_min,forecast_eta_lead_min,forecast_linear_r2,forecast_linear_eta_min,forecast_exp_r2,forecast_exp_eta_min,forecast_power_r2,forecast_power_eta_min,flow_best_fit,flow_r2,flow_eta_min,flow_eta_lead_min,error
04-04-LF.xlsx,3,307.617,1.0,60.0,,no_block,0.00108,0.007238,19.317,19.75,,,0.007504,0.035268,116,4694,power_law,0.0346,,,0.0067,,0.0029,,0.0346,,linear,0.349,12030.621,,
04-04-LF.xlsx,4,307.617,1.0,60.0,,no_block,0.001081,0.00965,19.317,22.683,,,0.007506,0.035268,115,4271,power_law,0.0343,,,0.0067,,0.0029,,0.0343,,linear,0.349,12030.621,,
04-04-LF.xlsx,5,307.617,1.0,60.0,,no_block,0.001081,0.012063,19.317,24.033,,,0.007506,0.035268,115,4065,power_law,0.0343,,,0.0067,,0.0029,,0.0343,,linear,0.349,12030.621,,
0709.csv,3,29.9,1.0,60.0,29.9,yes,0.008453,0.002282,29.05,8.517,0.85,21.383,0.947023,0.023071,127,1284,exponential,-1.1641,34.016,-4.116,-2.3138,28.655,-1.1641,34.016,-3.6268,48.201,exponential,0.0059,681.592,-651.692,
0709.csv,4,29.9,1.0,60.0,29.9,yes,0.008463,0.003042,29.05,9.133,0.85,20.767,0.947022,0.023071,128,1107,exponential,-1.1628,34.006,-4.106,-2.314,28.66,-1.1628,34.006,-3.6329,48.148,exponential,0.0059,681.592,-651.692,
0709.csv,5,29.9,1.0,60.0,29.9,yes,0.008463,0.003803,29.05,12.767,0.85,17.133,0.947022,0.023071,128,996,exponential,-1.1628,34.006,-4.106,-2.314,28.66,-1.1628,34.006,-3.6329,48.148,exponential,0.0059,681.592,-651.692,
11-12.xlsx,3,266.379,1.11,60.0,57.0,yes,0.000592,0.003928,13.469,55.171,43.531,1.829,0.264754,0.348575,989,3236,exponential,-1.9532,250.83,-193.83,-2.3108,168.002,-1.9532,250.83,-2.5895,309.077,linear,0.6398,704.539,-647.539,
11-12.xlsx,4,266.379,1.11,60.0,57.0,yes,0.000593,0.005237,13.469,55.234,43.531,1.766,0.264754,0.348575,986,3232,exponential,-1.953,250.925,-193.925,-2.3108,168.009,-1.953,250.925,-2.5893,309.422,linear,0.6398,704.539,-647.539,
11-12.xlsx,5,266.379,1.11,60.0,57.0,yes,0.000593,0.006546,13.469,55.234,43.531,1.766,0.264754,0.348575,986,3230,exponential,-1.953,250.925,-193.925,-2.3108,168.009,-1.953,250.925,-2.5893,309.422,linear,0.6398,704.539,-647.539,
18-11-LF.xlsx,3,37.55,1.0,60.0,,unknown,1.207723,0.223204,,4.983,,,0.854057,0.813947,0,1142,,,,,,,,,,,,,,,
18-11-LF.xlsx,4,37.55,1.0,60.0,,unknown,1.21047,0.297605,,4.983,,,0.854057,0.813947,0,1136,,,,,,,,,,,,,,,
18-11-LF.xlsx,5,37.55,1.0,60.0,,unknown,1.21047,0.372006,,5.517,,,0.854057,0.813947,0,1098,,,,,,,,,,,,,,,
2108-2.csv,3,44.156,0.4,60.0,44.0,yes,0.001462,0.006449,4.541,4.541,39.459,39.459,0.196263,0.591802,132,932,linear,-2.3679,40.198,3.802,-2.3679,31.937,-3.0426,40.198,-7.5821,41.869,linear,0.4202,89.539,-45.539,
2108-2.csv,4,44.156,0.4,60.0,44.0,yes,0.001464,0.008599,4.541,4.541,39.459,39.459,0.196263,0.591802,131,929,linear,-2.3679,40.203,3.797,-2.3679,31.94,-3.0426,40.203,-7.5821,41.879,linear,0.4202,89.539,-45.539,
